hotel_id,hotel_name,hotel_URL,img_URL,street_address,city
100615,Quality Inn Sea-Tac Airport,http://www.tripadvisor.com/ShowUserReviews-g60878-d100615-Reviews-Quality_Inn_Sea_Tac_Airport-Seattle_Washington.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/3c/e6/3ce6f42fa9fc878abb1dcbefab116cb52large.jpg,2900 S 192nd St.,Seattle
100617,Hilton Seattle Airport & Conference Center,http://www.tripadvisor.com/ShowUserReviews-g60878-d100617-Reviews-Hilton_Seattle_Airport_Conference_Center-Seattle_Washington.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/17/60/1760a8a0c87dddb7dfc2ad0b9b21aac75large.jpg,17620 Pacific Highway South,Seattle
100619,Radisson Hotel Seattle Airport,http://www.tripadvisor.com/ShowUserReviews-g60878-d100619-Reviews-Radisson_Hotel_Seattle_Airport-Seattle_Washington.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/ab/c5/abc569c3ced568ffb140deac95ebcc0c7large.jpg,18118 International Boulevard,Seattle
1006211,Gonen Hotel,http://www.tripadvisor.com/ShowUserReviews-g293974-d1006211-Reviews-Gonen_Hotel-Istanbul.html,,Fethibey Caddesi,Istanbul
1006218,Seven Sands Hotel Apartments,http://www.tripadvisor.com/ShowUserReviews-g295424-d1006218-Reviews-Seven_Sands_Hotel_Apartments-Dubai.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/60/ae/60aeac227488cedd2fc90166bd1716e58large.jpg,P.O.Box 20313 Al Barsha,Dubai
1006459,Lindemann's,http://www.tripadvisor.com/ShowUserReviews-g187323-d1006459-Reviews-Lindemann_s-Berlin.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/a3/f8/a3f86e0e54fed6cea911798b46842b1f5large.jpg,Potsdamer Strasse 171-173,Berlin
1006764,null,http://www.tripadvisor.com/ShowUserReviews-g187337-d1006764-r19278976-Easybed24-Frankfurt_Hesse.html,null,null,null
1006904,Hotel Le Crystal,http://www.tripadvisor.com/ShowUserReviews-g155032-d1006904-Reviews-Hotel_Le_Crystal-Montreal_Quebec.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/6d/1a/6d1a2247191e2379d5eef470437aca773large.jpg,1100 rue de la montagne,Montreal
1007015,BEST WESTERN Grand City Hotel Berlin Mitte,http://www.tripadvisor.com/ShowUserReviews-g187323-d1007015-Reviews-BEST_WESTERN_Grand_City_Hotel_Berlin_Mitte-Berlin.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/2e/8f/2e8fa66e8cee892ddfd6fce2fbb471fd24large.jpg,Osloer Strasse 116a,Berlin
1007145,Hotel Colonial,http://www.tripadvisor.com/ShowUserReviews-g147321-d1007145-Reviews-Hotel_Colonial-Mayaguez_Puerto_Rico.html,http://media-cdn.tripadvisor.com/media/photo-s/01/60/60/d3/hotel-colonial.jpg,,
